id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,mkt_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
171323,Jonny Gray,Scotland,1,Lock,4.0,3.2,P,Argentina,False,4,0,-9.7,1.0,22.48,57.6,17.87,8.1
109816,Rory Hutchinson,Scotland,1,Centre,4.0,1.1,P,Argentina,False,4,0,-9.7,1.0,15.49,71.6,15.3,6.93
156422,Josh Nasser,Australia,2,Hooker,4.0,3.8,P,Ireland,True,11,0,-8.6,1.0,16.15,50.7,11.29,5.11
219485,Ryan Lonergan,Australia,2,Scrum Half,4.0,1.6,P,Ireland,True,6,0,-8.6,1.0,5.25,72.0,5.21,2.36
148312,Carter Gordon,Australia,2,Fly Half,4.0,1.8,P,Ireland,True,3,0,-8.6,1.0,20.87,60.2,17.33,7.85
178222,Jock Campbell,Australia,2,Back Three,4.0,2.7,P,Ireland,True,0,0,-8.6,1.0,9.76,70.0,9.42,4.27
224426,Tom OToole,Ireland,1,Prop,4.0,4.9,P,Australia,False,0,0,8.6,1.0,3.18,70.0,3.07,1.39
198565,Cian Prendergast,Ireland,1,Loose Forward,4.0,5.0,P,Australia,False,9,0,8.6,1.0,17.62,64.0,15.55,7.05
206415,Mamoru Harada,Japan,2,Hooker,4.0,1.3,P,Italy,True,12,0,-7.9,0.992,11.11,61.9,9.49,4.3
233260,Shuhei Takeuchi,Japan,2,Prop,4.0,1.7,P,Italy,True,21,0,-7.9,0.992,8.5,60.5,7.1,3.22
154414,Kanji Shimokawa,Japan,2,Loose Forward,4.0,0.6,P,Italy,True,19,0,-7.9,0.992,11.04,69.9,10.64,4.82
251673,Ryunosuke Ito,Japan,2,Fly Half,4.0,0.5,P,Italy,True,0,0,-7.9,0.992,8.84,70.0,8.54,3.87
250678,Kippei Ishida,Japan,2,Back Three,4.0,0.9,P,Italy,True,9,0,-7.9,0.992,13.53,79.5,14.84,6.72
251359,Yuya Hirose,Japan,2,Centre,4.0,0.5,P,Italy,True,5,0,-7.9,0.992,7.24,80.0,7.99,3.62
110891,Stephen Varney,Italy,1,Scrum Half,4.0,2.9,P,Japan,False,15,0,7.9,0.992,19.71,59.8,16.26,7.37
236606,Leonardo Marin,Italy,1,Fly Half,4.0,0.1,B,Japan,False,17,0,7.9,0.992,17.92,10.1,2.49,6.77
240478,Gregor Hiddleston,Scotland,1,Hooker,4.0,0.2,B,Argentina,False,0,0,-9.7,1.0,5.78,24.0,1.91,5.2
153525,Rory Sutherland,Scotland,1,Prop,4.0,0.2,B,Argentina,False,22,0,-9.7,1.0,19.87,18.6,5.1,13.85
224905,George Horne,Scotland,1,Scrum Half,4.0,0.6,B,Argentina,False,24,0,-9.7,1.0,16.99,19.3,4.52,12.28
136509,Fergus Burke,Scotland,1,Fly Half,4.0,0.2,B,Argentina,False,3,0,-9.7,1.0,19.98,24.0,6.61,17.98
188103,Pita Gus Sowakula,Fiji,2,Loose Forward,4.0,1.8,P,Wales,True,3,0,8.9,0.989,14.63,71.9,14.51,6.57
245055,Elia Canakaivata,Fiji,2,Loose Forward,4.0,2.2,P,Wales,True,19,0,8.9,0.989,13.45,72.7,13.49,6.11
216255,Zuriel Togiatama,Fiji,2,Hooker,4.0,0.2,B,Wales,True,10,0,8.9,0.989,12.96,12.1,2.16,5.86
113765,Peceli Yato,Fiji,2,Loose Forward,4.0,0.4,B,Wales,True,0,0,8.9,0.989,5.88,24.0,1.95,5.29
161973,Simione Kuruvoli,Fiji,2,Scrum Half,4.0,0.3,B,Wales,True,17,0,8.9,0.989,15.01,21.2,4.39,11.95
144545,Ben Carter,Wales,1,Lock,4.0,1.0,P,Fiji,False,10,0,-8.9,0.989,23.21,60.5,19.38,8.78
105892,Adam Beard,Wales,1,Lock,4.0,2.6,P,Fiji,False,15,0,-8.9,0.989,17.18,65.9,15.62,7.08
182170,Ryan Elias,Wales,1,Hooker,4.0,0.2,B,Fiji,False,11,0,-8.9,0.989,22.84,27.9,8.72,23.9
143123,Taine Plumtree,Wales,1,Loose Forward,4.0,0.3,B,Fiji,False,14,0,-8.9,0.989,19.7,30.7,8.31,22.68
136947,Brandon Paenga-Amosa,Australia,2,Hooker,4.0,0.3,B,Ireland,True,10,0,-8.6,1.0,12.93,20.5,3.66,9.96
118619,Sam Costelow,Wales,1,Fly Half,4.0,0.1,B,Fiji,False,14,0,-8.9,0.989,18.95,30.8,8.04,21.88
109783,Marco van Staden,South Africa,2,Loose Forward,4.0,0.5,B,England,True,17,0,24.9,1.0,10.82,24.1,3.6,9.8
240452,Cameron Hanekom,South Africa,2,Loose Forward,4.0,4.5,B,England,True,1,0,24.9,1.0,16.01,35.0,7.73,21.02
142211,George Martin,England,1,Lock,4.0,6.4,P,South Africa,False,14,0,-24.9,1.0,25.28,71.9,24.67,11.36
113737,Jack van Poortvliet,England,1,Scrum Half,4.0,0.9,P,South Africa,False,12,0,-24.9,1.0,15.65,50.7,10.93,4.95
110793,Cadan Murley,England,1,Back Three,4.0,1.1,P,South Africa,False,6,0,-24.9,1.0,18.14,80.0,20.01,9.07
109648,Seb Atkinson,England,1,Centre,4.0,1.1,P,South Africa,False,4,0,-24.9,1.0,6.93,76.2,7.28,3.3
130283,Beno Obano,England,1,Prop,4.0,0.1,B,South Africa,False,1,0,-24.9,1.0,35.27,8.0,3.89,10.58
196415,Charlie Ewels,England,1,Lock,4.0,0.1,B,South Africa,False,4,0,-24.9,1.0,10.56,10.8,1.57,4.27
168641,Dillon Lewis,Wales,1,Prop,3.5,2.2,P,Fiji,False,4,0,-8.9,0.989,22.94,73.0,22.89,10.47
