engine,fixture_id,target,n,mae
empirical_raw,8476315,defenders_beaten,46,0.9371621774234294
empirical_raw,8476315,clean_breaks,46,0.2535149066855162
empirical_raw,8476315,offload,46,0.3264447365303899
empirical_raw,8476315,runs,46,2.170507633557632
empirical_raw,8476315,tackles,46,2.3272882679790694
empirical_raw,8476315,missed_tackles,46,0.9358549876309136
empirical_raw,8476315,rucks_won,46,1.9706123321696736
empirical_raw,8476315,rucks_lost,46,0.2193969049109407
empirical_raw,8476315,passes,46,3.2519808905359104
empirical_raw,8476315,bad_passes,46,0.6820041502085019
empirical_raw,8476315,turnovers_conceded,46,0.5456500109904009
empirical_raw,8476315,penalties_conceded,46,0.4507141811489364
empirical_raw,8476315,yellow_cards,46,0.0412608826838455
empirical_raw,8476315,red_cards,46,0.0027022067848861
empirical_raw,8476315,metres,46,10.978932588186067
p3_robust_native,8476315,minutes,46,9.227079419303044
p3_robust_native,8476315,tries,46,0.2823332876093097
p3_robust_native,8476315,try_assists,46,0.1464792460197626
p3_robust_native,8476315,conversion_goals,46,0.1716404168457021
p3_robust_native,8476315,missed_conversion_goals,46,0.0500851324593811
p3_robust_native,8476315,penalty_goals,46,0.0496014973415928
p3_robust_native,8476315,missed_penalty_goals,46,0.0084317029156331
p3_robust_native,8476315,drop_goals_converted,46,0.0004572982997503
p3_robust_native,8476315,drop_goal_missed,46,0.0020519488579504
p3_robust_native,8476315,defenders_beaten,46,0.9235875372326032
p3_robust_native,8476315,clean_breaks,46,0.2497736583137351
p3_robust_native,8476315,offload,46,0.3244352001156211
p3_robust_native,8476315,runs,46,2.0391205990228083
p3_robust_native,8476315,tackles,46,2.176141731688168
p3_robust_native,8476315,missed_tackles,46,0.9568730539398428
p3_robust_native,8476315,rucks_won,46,1.698542671193458
p3_robust_native,8476315,rucks_lost,46,0.2092421971128432
p3_robust_native,8476315,passes,46,3.584822500705985
p3_robust_native,8476315,bad_passes,46,0.6952610719872004
p3_robust_native,8476315,turnovers_conceded,46,0.5387511769258951
p3_robust_native,8476315,penalties_conceded,46,0.4570352416992815
p3_robust_native,8476315,yellow_cards,46,0.0457101445584991
p3_robust_native,8476315,red_cards,46,0.0007768402828245
p3_robust_native,8476315,metres,46,10.770509958616731
p3_balanced_native,8476315,minutes,46,9.235582877431954
p3_balanced_native,8476315,tries,46,0.2833670441876301
p3_balanced_native,8476315,try_assists,46,0.1481929197362943
p3_balanced_native,8476315,conversion_goals,46,0.1683504005893926
p3_balanced_native,8476315,missed_conversion_goals,46,0.0482058399689161
p3_balanced_native,8476315,penalty_goals,46,0.0478308530827004
p3_balanced_native,8476315,missed_penalty_goals,46,0.0082681347466657
p3_balanced_native,8476315,drop_goals_converted,46,0.0006668644577933
p3_balanced_native,8476315,drop_goal_missed,46,0.0013548689118083
p3_balanced_native,8476315,defenders_beaten,46,0.9114672136784964
p3_balanced_native,8476315,clean_breaks,46,0.2556609943093599
p3_balanced_native,8476315,offload,46,0.3237694093823504
p3_balanced_native,8476315,runs,46,1.9982759390454896
p3_balanced_native,8476315,tackles,46,2.1702254857622063
p3_balanced_native,8476315,missed_tackles,46,0.9591802433560844
p3_balanced_native,8476315,rucks_won,46,1.7264371265331278
p3_balanced_native,8476315,rucks_lost,46,0.2039527046511027
p3_balanced_native,8476315,passes,46,3.5297557761444707
p3_balanced_native,8476315,bad_passes,46,0.6983360995730519
p3_balanced_native,8476315,turnovers_conceded,46,0.5365153624051137
p3_balanced_native,8476315,penalties_conceded,46,0.4590850203254376
p3_balanced_native,8476315,yellow_cards,46,0.0433853444129574
p3_balanced_native,8476315,red_cards,46,0.0005101704519929
p3_balanced_native,8476315,metres,46,10.755541703002102
p3_balanced_recent_native,8476315,minutes,46,9.27576729305375
p3_balanced_recent_native,8476315,tries,46,0.2840495040562463
p3_balanced_recent_native,8476315,try_assists,46,0.1492640033459044
p3_balanced_recent_native,8476315,conversion_goals,46,0.1701870235092472
p3_balanced_recent_native,8476315,missed_conversion_goals,46,0.0477983238192313
p3_balanced_recent_native,8476315,penalty_goals,46,0.0454771420858959
p3_balanced_recent_native,8476315,missed_penalty_goals,46,0.008282470745712
