Player,Nation,Position,MP,POTM,MC,DB,OF,T,As,C,Pen,DG,SW,50-22,Ta,BS,LS,CPen,YC,RC ,AP
F. Burke,Scotland,Number 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. McCloskey,Ireland,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
T. Plumtree,Wales,Fly-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
O. Beard,England,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M. Currie,Scotland,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M. Ojomoh,England,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
P. Bourgarit,France,Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
H. Reus,France,Number 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
T. O'Toole,Ireland,Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R. Wardi,France,Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Coombes,Ireland,Fly-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
A. Coles,England,Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
L. Nouchi,France,Fly-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M. Gazzotti,France,Fly-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
J. Brennan,France,Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C. Prendergast,Ireland,Fly-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C. Blade,Ireland,Scrum-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M. Zanon,Italy,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
J. Mann,Scotland,Fly-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
P. Harrison,Scotland,Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
A. Masibaka,Scotland,Fly-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
T. Millet,France,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
F. Brau Boirie,France,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R. Montagne,France,Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M. Domon,France,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M. Hasa,Italy,Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
N. McBeth,Scotland,Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
